combo_id,status,profit,prices
73,Optimal,4757.742066666668,"{""1-Local"": 6.62, ""1-Supermarket"": 6.82, ""1-Online"": 7.02, ""2-Local"": 16.08, ""2-Supermarket"": 4.96, ""2-Online"": 9.04}"
74,Optimal,4904.6993999999995,"{""1-Local"": 6.62, ""1-Supermarket"": 6.82, ""1-Online"": 7.02, ""2-Local"": 16.08, ""2-Supermarket"": 4.96, ""2-Online"": 12.92}"
75,Optimal,4915.486733333335,"{""1-Local"": 6.62, ""1-Supermarket"": 6.82, ""1-Online"": 7.02, ""2-Local"": 16.08, ""2-Supermarket"": 4.96, ""2-Online"": 16.79}"
76,Optimal,4775.272733333334,"{""1-Local"": 6.62, ""1-Supermarket"": 6.82, ""1-Online"": 7.02, ""2-Local"": 16.08, ""2-Supermarket"": 4.96, ""2-Online"": 20.67}"
77,Optimal,4503.370066666668,"{""1-Local"": 6.62, ""1-Supermarket"": 6.82, ""1-Online"": 7.02, ""2-Local"": 16.08, ""2-Supermarket"": 4.96, ""2-Online"": 24.55}"
78,Optimal,4610.462066666668,"{""1-Local"": 6.62, ""1-Supermarket"": 6.82, ""1-Online"": 7.02, ""2-Local"": 16.08, ""2-Supermarket"": 6.8, ""2-Online"": 5.16}"
79,Optimal,4827.910066666665,"{""1-Local"": 6.62, ""1-Supermarket"": 6.82, ""1-Online"": 7.02, ""2-Local"": 16.08, ""2-Supermarket"": 6.8, ""2-Online"": 9.04}"
80,Optimal,5002.550066666665,"{""1-Local"": 6.62, ""1-Supermarket"": 6.82, ""1-Online"": 7.02, ""2-Local"": 16.08, ""2-Supermarket"": 6.8, ""2-Online"": 12.92}"
81,Optimal,5017.0174,"{""1-Local"": 6.62, ""1-Supermarket"": 6.82, ""1-Online"": 7.02, ""2-Local"": 16.08, ""2-Supermarket"": 6.8, ""2-Online"": 16.79}"
82,Optimal,4878.6847333333335,"{""1-Local"": 6.62, ""1-Supermarket"": 6.82, ""1-Online"": 7.02, ""2-Local"": 16.08, ""2-Supermarket"": 6.8, ""2-Online"": 20.67}"
